target_angle,angle,target_speed,speed,I4,I5
0.000000,7131.000000,245.000000,240.000000,19197.996094,0.000000
0.000000,7565.000000,245.000000,242.000000,18835.396484,0.000000
0.000000,7994.000000,244.000000,241.000000,18950.595703,0.000000
0.000000,229.000000,243.000000,245.000000,19183.996094,0.000000
0.000000,647.000000,242.000000,234.000000,19265.595703,0.000000
0.000000,1076.000000,241.000000,246.000000,19594.595703,0.000000
0.000000,1504.000000,240.000000,235.000000,19144.794922,0.000000
0.000000,1937.000000,239.000000,254.000000,19504.595703,0.000000
0.000000,2365.000000,238.000000,239.000000,19054.794922,0.000000
0.000000,2805.000000,236.000000,259.000000,19079.994141,0.000000
0.000000,3233.000000,235.000000,236.000000,18649.794922,0.000000
0.000000,3662.000000,234.000000,240.000000,18770.595703,0.000000
0.000000,4084.000000,232.000000,233.000000,18095.794922,0.000000
0.000000,4484.000000,231.000000,222.000000,18517.394531,0.000000
0.000000,4890.000000,229.000000,230.000000,18733.994141,0.000000
0.000000,5290.000000,228.000000,228.000000,18863.394531,0.000000
0.000000,5717.000000,226.000000,241.000000,18472.593750,0.000000
0.000000,6130.000000,225.000000,233.000000,18160.394531,0.000000
0.000000,6549.000000,223.000000,227.000000,17701.994141,0.000000
0.000000,6941.000000,221.000000,221.000000,17682.193359,0.000000
0.000000,7343.000000,219.000000,229.000000,17684.994141,0.000000
0.000000,7741.000000,217.000000,224.000000,17445.994141,0.000000
0.000000,8132.000000,215.000000,218.000000,17364.394531,0.000000
0.000000,326.000000,213.000000,219.000000,17083.195313,0.000000
0.000000,701.000000,211.000000,213.000000,17243.394531,0.000000
0.000000,1081.000000,209.000000,219.000000,17378.394531,0.000000
